feature,mean_abs_shap
hjorth_complexity_TPP7h,0.00779511205114574
hjorth_mobility_FCC6h,0.007787000273089081
alpha_theta_ratio_PO3,0.007786828427559558
hjorth_complexity_C6,0.007773905370823487
hjorth_mobility_C2,0.0077398502028431975
hjorth_complexity_F10,0.007729843484978183
alpha_theta_ratio_P1,0.007686617491259913
hjorth_mobility_CP5,0.00758106289212048
hjorth_mobility_FC2,0.007574549901497683
alpha_theta_ratio_C4,0.00751086752526352
spectral_entropy_TTP7h,0.007424988855715862
hjorth_mobility_C1,0.0073840048399594635
hjorth_complexity_C1,0.0073761970128550635
alpha_theta_ratio_CPP2h,0.007341587709763557
hjorth_complexity_C2,0.007330852680252498
hjorth_complexity_PO7,0.0073191799936223895
alpha_theta_ratio_O1,0.007232155555699242
alpha_theta_ratio_POO1,0.007207210846603666
hjorth_mobility_P6,0.0070729754225922
spectral_entropy_TPP10h,0.006979696713944612
hjorth_complexity_F5,0.006948471773231418
hjorth_mobility_PPO10h,0.006947263429109843
hjorth_mobility_TPP7h,0.006929751461096955
spectral_entropy_PO4,0.006902049208667502
hjorth_mobility_OI2h,0.006895376400283079
alpha_theta_ratio_PPO2h,0.006875131447663768
spectral_entropy_FC4,0.006828160224578661
hjorth_mobility_TPP10h,0.00678908108517952
alpha_theta_ratio_FT9,0.0067795858985847295
alpha_theta_ratio_F8,0.00676723787166051
alpha_theta_ratio_POz,0.006734395339320733
hjorth_mobility_CPP1h,0.006698999215536288
hjorth_mobility_TPP9h,0.006696921436726912
hjorth_complexity_POO1,0.006696769754871199
hjorth_complexity_Fz,0.006692862118192591
spectral_entropy_Oz,0.0066700413438539365
hjorth_complexity_OI1h,0.006649691080728606
hjorth_complexity_TPP9h,0.00664713243935065
hjorth_complexity_P3,0.006601506019652512
alpha_theta_ratio_FTT10h,0.006589812561330899
alpha_theta_ratio_F9,0.006571453529586981
alpha_theta_ratio_F10,0.006541864523538893
spectral_entropy_PO8,0.0065028490051542345
spectral_entropy_FCC4h,0.006486160743711484
spectral_entropy_FFC4h,0.006473020383059806
alpha_theta_ratio_F7,0.006460566966554697
spectral_entropy_FC3,0.006454750123849558
alpha_theta_ratio_CPP1h,0.006415144011433344
alpha_theta_ratio_FFT10h,0.0063401766708690984
hjorth_complexity_FFC1h,0.006297561355614309
hjorth_mobility_FCC1h,0.006262212830394423
hjorth_mobility_FFC3h,0.006195199671116806
alpha_theta_ratio_CP5,0.0061383472669804505
hjorth_complexity_CCP3h,0.006136520082180816
spectral_entropy_POO1,0.00611933892139716
spectral_entropy_AFF2h,0.006075421049477117
spectral_entropy_AFF5h,0.006071672578607953
alpha_theta_ratio_CCP4h,0.006058098695779593
hjorth_complexity_F3,0.006050329288926044
hjorth_complexity_Oz,0.00602733118623652
spectral_entropy_F10,0.00593688883192038
hjorth_complexity_CP1,0.0059154855804564544
hjorth_mobility_Fz,0.005910408414110597
hjorth_complexity_TTP7h,0.005892923612247059
hjorth_mobility_F4,0.005880970000587653
alpha_theta_ratio_P9,0.0058330978495173755
hjorth_complexity_PO4,0.005673890604030517
spectral_entropy_FFC5h,0.005655928334531066
hjorth_mobility_AFp2,0.00563614421335429
spectral_entropy_CCP6h,0.005611438249358363
alpha_theta_ratio_CPP6h,0.00559350473671436
spectral_entropy_FCC2h,0.005484932380934522
spectral_entropy_P1,0.0054801308669825514
spectral_entropy_FT8,0.005471230828350055
hjorth_mobility_P4,0.005439118625565268
spectral_entropy_FCC3h,0.005437675780750773
alpha_theta_ratio_CP1,0.005433550506596404
hjorth_mobility_FC6,0.005404372006334638
spectral_entropy_FT7,0.005402383464304579
alpha_theta_ratio_O10,0.005308928845110934
alpha_theta_ratio_FFC4h,0.005291219698650267
alpha_theta_ratio_F4,0.005211764884259161
hjorth_complexity_CPz,0.00516575664661469
alpha_theta_ratio_FC4,0.005152279858535723
hjorth_mobility_P7,0.005136308551664983
alpha_theta_ratio_P6,0.005072173025302192
spectral_entropy_TP8,0.004968536090054486
hjorth_complexity_FCC3h,0.004962617014476221
hjorth_mobility_CPP5h,0.004956368760763275
spectral_entropy_TPP7h,0.004940570325265516
alpha_theta_ratio_FC2,0.004938724637720092
hjorth_mobility_PO7,0.004921527358582599
hjorth_mobility_C4,0.004896685739047952
hjorth_mobility_AFF2h,0.004886072726402733
spectral_entropy_CPz,0.004852015528798907
hjorth_mobility_FFC6h,0.004825342827594554
spectral_entropy_FTT10h,0.004778541908691072
hjorth_mobility_CP6,0.00475995486823238
spectral_entropy_Fp1,0.004755966236232785
